Incident ID,Incident Date,State,County,Address
2158524,03-11-2021,Iowa,Polk,11300 block of E 15th St
2238165,20-02-2022,Iowa,Polk,100 block of Water St
444168,08-11-2015,Michigan,Macomb,13859 8 Mile Road
1743108,22-07-2020,Michigan,Macomb,28200 block of Lawson St
440743,02-11-2015,South Carolina,Anderson,2217 Refuge Road
438651,28-10-2015,Louisiana,Terrebonne,400 block of Morgan Street
2167889,13-11-2021,Louisiana,Terrebonne,100 block of Emma St
1987241,26-04-2021,Louisiana,Terrebonne,656 Corporate Dr
437323,26-10-2015,Indiana,Vanderburgh,711 E Virginia St
619408,01-08-2016,Indiana,Vanderburgh,South Bedford Avenue
559194,15-05-2016,Indiana,Vanderburgh,420 North Garvin Street
921653,27-08-2017,Indiana,Vanderburgh,1127 Chestnut St
1520425,06-10-2019,Indiana,Vanderburgh,1127 Chestnut St
1328792,17-02-2019,Indiana,Vanderburgh,664 E Illinois St
1840265,01-11-2020,Indiana,Vanderburgh,664 E Illinois St
2010083,20-05-2021,Indiana,Vanderburgh,800 block of Shadewood Ave
436202,25-10-2015,North Carolina,Johnston,2339 Stricklands Crossroads Road
436219,24-10-2015,South Carolina,Bamberg,682 Dixie Ave.
435144,22-10-2015,Tennessee,Davidson,3500 John A. Merritt Blvd
563751,22-05-2016,Tennessee,Davidson,100 block of Rains Avenue
547639,25-04-2016,Tennessee,Davidson,400 Charlotte Avenue
965756,21-10-2017,Tennessee,Davidson,1277 12th Ave S
1196051,25-08-2018,Tennessee,Davidson,1564 9th Ave N
1025673,12-01-2018,Tennessee,Davidson,2614 Jenkins Ct
1381857,28-04-2019,Tennessee,Davidson,1407 Dr DB Todd Jr Blvd
1846494,08-11-2020,Tennessee,Davidson,2nd Ave N and Commerce St
1828019,18-10-2020,Tennessee,Davidson,1100 block of W Grove Ave
1807096,27-09-2020,Tennessee,Davidson,619 Millwood Dr
1736508,16-07-2020,Tennessee,Davidson,S 7th St and Sylvan St
2176058,26-11-2021,Tennessee,Davidson,2815 Torbett St
2153779,28-10-2021,Tennessee,Davidson,210 N 9th St
2103256,29-08-2021,Tennessee,Davidson,2621 Jefferson St
2084889,06-08-2021,Tennessee,Davidson,1000 block of 43rd Ave North
2029078,08-06-2021,Tennessee,Davidson,Clarksville Pike and Buena Vista Pike
2428950,02-10-2022,Tennessee,Davidson,600 block of S 7th St
2378851,04-08-2022,Tennessee,Davidson,371 Hickory Trace Dr
2555459,27-03-2023,Tennessee,Davidson,33 Burton Hills Blvd
432072,17-10-2015,Indiana,Elkhart,160 Easy Shopping Pl
429614,10-10-2015,Illinois,Peoria,2405 N Flora
1739434,19-07-2020,Illinois,Peoria,NE Water St and Hamilton Blvd
1718463,27-06-2020,Illinois,Peoria,1400 block of SW Jefferson St
2054132,04-07-2021,Illinois,Peoria,600 block of Haungs Ave
2202001,01-01-2022,Illinois,Peoria,2000 block of SW Adams St
427621,09-10-2015,Arizona,Coconino,216 E Mountain View Dr
423223,01-10-2015,Oregon,Douglas,1140 Umpqua College Rd
422020,28-09-2015,Ohio,Montgomery,1921 Oakridge
333576,03-05-2015,Ohio,Montgomery,2801 Germantown Street
687940,29-10-2016,Ohio,Montgomery,2010 Cornell Ridge Dr
685379,25-10-2016,Ohio,Montgomery,3300 block of Riverside Dr
1467828,04-08-2019,Ohio,Montgomery,419 E 5th St
1762997,12-08-2020,Ohio,Montgomery,2049 Catalpa Dr
1721572,30-06-2020,Ohio,Montgomery,3500 block of Stanford Pl
1973435,07-04-2021,Ohio,Montgomery,Hoover Ave and Summit Square
2379499,05-08-2022,Ohio,Montgomery,7120 Hardwicke Pl
421014,27-09-2015,Georgia,Meriwether,1140 Hill Haven Road
420855,27-09-2015,Missouri,Jackson,1700 E. 18th St.
391014,09-08-2015,Missouri,Jackson,40th Street and Pennsylvania Avenue
381814,26-07-2015,Missouri,Jackson,Thompson and Colorado
711744,27-11-2016,Missouri,Jackson,Gregory and Prospect
700363,12-11-2016,Missouri,Jackson,21st St and Cleveland Ave
