Incident ID,Incident Date,State,State Code,County,City,City Or County,Address,# Killed,# Injured
787801,04-03-2017,California,CA,Sacramento,Sacramento,Sacramento,2500 block of 33rd St,0,4
1398876,17-05-2019,California,CA,Sacramento,Sacramento,Sacramento,7326 Stockton Blvd,1,3
1839628,31-10-2020,California,CA,Sacramento,Sacramento,Sacramento,2800 block of Normington Dr,0,4
1813583,03-10-2020,California,CA,Sacramento,Sacramento,Sacramento,Roanoke Ave and Haywood St,1,3
1773194,24-08-2020,California,CA,Sacramento,Sacramento,Sacramento,1200 block of Helena Ave,1,3
1702372,10-06-2020,California,CA,Sacramento,Sacramento,Sacramento,68th Avenue and Della Circle,1,4
1698868,06-06-2020,California,CA,Sacramento,Sacramento,Sacramento,Gardendale Rd and 29th St,1,4
2154873,30-10-2021,California,CA,Sacramento,Sacramento,Sacramento,5560 Palm Ave,2,5
2065634,16-07-2021,California,CA,Sacramento,Sacramento,Sacramento,L St and Front St,2,4
2458933,12-11-2022,California,CA,Sacramento,Sacramento,Sacramento,4000 block of May St,0,4
2348230,04-07-2022,California,CA,Sacramento,Sacramento,Sacramento,1525 L St,1,4
2281164,17-04-2022,California,CA,Sacramento,Sacramento,Sacramento,7200 block of Franklin Blvd,1,3
2269082,03-04-2022,California,CA,Sacramento,Sacramento,Sacramento,J St and 10th St,6,12
2243861,28-02-2022,California,CA,Sacramento,Sacramento,Sacramento,2041 Wyda Way,5,0
2539814,06-03-2023,California,CA,Sacramento,Sacramento,Sacramento,2200 block of Rogue River Dr,3,1
269167,26-12-2014,Illinois,IL,St. Clair,East St. Louis,East St. Louis,2500 block of Summit Avenue,1,3
268598,24-12-2014,Missouri,MO,St. Louis,Saint Louis,Saint Louis,18th and Pine,1,3
227011,02-12-2014,Missouri,MO,St. Louis,Saint Louis,Saint Louis,6000 block of Virginia Avenue,1,5
197287,27-09-2014,Missouri,MO,St. Louis,Saint Louis,Saint Louis,2000 block East John Avenue,0,5
