Incident ID,Incident Date,# Killed
2019384,29-05-2021,1
2443879,24-10-2022,3
2407739,05-09-2022,1
2385846,12-08-2022,1
2299793,11-05-2022,1
2222557,29-01-2022,3
2528774,18-02-2023,0
267792,23-12-2014,1
268282,22-12-2014,1
206303,16-10-2014,1
201052,05-10-2014,1
189562,11-09-2014,1
181947,27-08-2014,1
157018,26-06-2014,2
138567,24-05-2014,0
96185,13-01-2014,0
391219,09-08-2015,1
374965,15-07-2015,0
365391,28-06-2015,0
364789,27-06-2015,0
361212,20-06-2015,1
336622,07-05-2015,0
299344,01-03-2015,1
605367,17-07-2016,0
555873,06-05-2016,1
542259,16-04-2016,1
520767,11-03-2016,2
513549,28-02-2016,0
999969,02-12-2017,0
998843,30-11-2017,1
936028,17-09-2017,1
803460,25-03-2017,1
797125,18-03-2017,3
1244754,31-10-2018,1
1184206,10-08-2018,0
1057518,26-02-2018,5
1047761,11-02-2018,4
1545955,09-11-2019,0
1540240,02-11-2019,1
1536706,27-10-2019,0
1404580,25-05-2019,3
1812049,01-10-2020,0
1807325,28-09-2020,0
1774123,24-08-2020,0
1750250,29-07-2020,0
1739920,19-07-2020,1
1739917,19-07-2020,4
1725571,05-07-2020,2
1724231,04-07-2020,2
1711876,20-06-2020,0
1655674,08-04-2020,0
2182789,05-12-2021,2
2114481,12-09-2021,2
2092227,16-08-2021,1
2074353,25-07-2021,0
2060949,13-07-2021,1
2030720,10-06-2021,1
1998537,08-05-2021,0
1981521,18-04-2021,1
1979684,16-04-2021,0
1970245,06-04-2021,1
1959549,22-03-2021,1
2477622,08-12-2022,0
2412198,11-09-2022,0
2400026,28-08-2022,3
2380361,06-08-2022,1
2380869,06-08-2022,1
2374337,31-07-2022,2
2361849,17-07-2022,0
2354825,08-07-2022,0
2334936,19-06-2022,1
2327598,11-06-2022,0
2297823,09-05-2022,0
2571648,13-04-2023,0
2534097,26-02-2023,2
282186,22-12-2014,4
267721,22-12-2014,0
222792,19-11-2014,1
180018,24-08-2014,1
163874,25-07-2014,1
160488,19-07-2014,0
157580,11-07-2014,1
142822,04-06-2014,1
142076,02-06-2014,0
141382,01-06-2014,1
134591,12-05-2014,0
131697,04-05-2014,1
130933,30-04-2014,0
127413,20-04-2014,0
122136,05-04-2014,1
113214,08-03-2014,0
104218,05-02-2014,1
100434,25-01-2014,1
451349,22-11-2015,0
422064,28-09-2015,3
422035,28-09-2015,2
