County,Incident ID,# Killed,# Injured
Missoula,1347894,1,3
Mobile,17169263,10,50
Modoc,108649,4,1
Monmouth,2100391,4,5
Monroe,27719396,21,88
Monterey,6508028,6,14
Montgomery,55704055,56,160
Moore,2367289,1,4
Morgan,4488290,10,5
Morris,2281410,1,6
Multnomah,27942695,10,68
Muscogee,16527011,8,49
Muskegon,3682156,1,7
Muskogee,4233059,7,8
Nacogdoches,3621231,2,6
Nash,5901921,4,20
Nassau,8531008,1,15
Natchitoches,1276298,1,3
Navarro,4430034,10,2
Neshoba,4076479,1,10
New Castle,19930850,10,47
New Hanover,5312537,5,15
New Haven,9790511,3,34
New York,16312980,2,59
Newport News,1010946,0,9
Niagara,3933878,1,9
Norfolk,26426023,15,70
Northampton,583584,1,3
Nueces,8358242,13,13
Oakland,5605624,10,17
Ocean,907247,0,4
Oconee,302786,1,3
Okaloosa,575607,0,4
Oklahoma,21536686,8,54
Okmulgee,2439284,4,0
Oktibbeha,120621,0,5
Oneida,4444432,1,12
Onondaga,8909936,2,35
Orange,62615082,106,221
Orangeburg,2458932,8,9
Oregon,1973692,1,3
Orleans,106635685,64,341
Osceola,2307631,1,3
Otero,2360288,0,5
Ottawa,4391505,0,8
Ouachita,15628082,11,29
Palm Beach,19810388,15,52
Panola,4834484,7,13
Pasco,290626,3,1
Pasquotank,7828271,3,15
Passaic,35979170,10,90
Payne,1108856,0,4
Peach,2148633,1,7
Pemiscot,773002,1,6
Peoria,8143644,4,25
Perry,2426382,0,5
Person,1519090,1,3
Petersburg,9300539,3,24
Philadelphia,230985698,83,569
Phillips,1726770,1,3
Pickens,3980034,3,6
Pierce,16258476,8,35
Pike,10798177,14,29
Pima,8931828,16,9
Pinal,952720,4,0
Pinellas,9906628,5,19
Pittsylvania,3633404,4,9
Platte,590221,4,0
Plymouth,3626346,5,10
Pointe Coupee,1146760,0,4
Polk,26378279,24,60
Pope,1886721,5,0
Portsmouth,7917608,5,17
Powell,353854,5,0
Prince George's,28533493,18,70
Prince William,7635428,7,10
Providence,4601352,0,22
Pueblo,4337039,1,9
Pulaski,22348307,14,73
Queens,20103538,7,61
Quitman,2428456,0,5
Racine,6072600,1,16
Ramsey,17806809,15,37
Randall,8142952,2,24
Rapides,5143529,2,11
Rensselaer,1796191,0,9
Rice,578238,0,4
Richland,18475384,3,69
Richmond,40636191,20,87
Riley,1846764,0,4
Rio Arriba,4044888,7,6
Riverside,23331876,20,71
Roanoke,4026307,5,25
Roberts,223799,4,1
Robeson,3938090,4,9
Rock,6296869,1,14
Rock Island,3465186,2,9
Rockbridge,1743168,1,3
Rockdale,1894017,5,5
Rockingham,732927,0,7
Routt,1919696,3,2
Rowan,4173370,3,13
Rusk,3075802,2,6
Russell,6345861,4,20
Rutherford,4705343,2,13
Sacramento,38811338,34,118
Sagadahoc,2575621,4,3
Saginaw,13978088,11,30
Saint Louis,343106,0,4
Saline,4864827,2,11
Salt Lake,4140988,4,16
Sampson,4218137,0,12
San Benito,2264094,2,3
San Bernardino,20680313,30,87
San Diego,17743689,17,48
San Francisco,21402049,17,76
San Jacinto,5745588,10,5
San Joaquin,19601620,21,58
San Luis Obispo,3088884,2,10
San Mateo,2687433,8,4
San Patricio,1232288,4,1
Sandusky,113156,3,1
Sangamon,1934181,1,4
Santa Barbara,3460206,11,9
Santa Clara,17630875,28,46
Santa Fe,2412164,0,5
Santa Rosa,1558067,2,2
Sarasota,266570,2,2
Sarpy,1858965,2,2
Scotland,2521084,0,4
Scott,7970162,4,27
Sebastian,3093919,0,11
Sedgwick,13061542,7,32
Seminole,3307360,3,9
Shawnee,2166953,6,9
Shelby,94510888,53,290
Skagit,3024298,5,5
Smith,2745829,1,8
Snohomish,2382118,8,6
Solano,6859689,6,24
Somerset,883058,4,1
Sonoma,3623035,2,10
Spartanburg,7788784,9,12
Spokane,5728685,2,10
St. Charles,7218965,6,12
St. Clair,12442872,8,33
St. James,1284586,2,2
St. John the Baptist,4968937,1,16
St. Johns,402623,2,2
St. Joseph,10484327,3,39
St. Landry,5423757,3,11
St. Louis,100157652,80,264
St. Lucie,2503649,1,7
St. Martin,178006,0,4
St. Mary,2282256,0,5
St. Tammany,2854199,3,7
Stanislaus,9653209,3,34
Stark,868147,0,4
Stearns,2352349,0,4
Stephenson,1726034,1,5
Stone,2285267,4,0
Suffolk,34642640,15,110
Sullivan,1001414,4,6
Summit,5876145,3,19
Sumter,9476431,11,17
Sunflower,1700812,0,5
Sutter,1947241,2,3
Tallahatchie,1399017,1,4
Tallapoosa,5570259,4,41
Tarrant,27992978,19,78
Tate,2527517,6,0
Tehama,2706458,9,16
Terrebonne,6029078,1,16
Texas,298122,8,1
Thurston,585821,3,1
Tift,1877628,0,4
Tippecanoe,2286061,2,4
Tipton,2493547,0,8
Tishomingo,508113,2,3
Tom Green,1539557,0,4
Tooele,1599331,4,1
Toombs,1546508,0,4
Travis,17886024,11,58
Trigg,211348,4,0
Troup,1791197,4,4
Trumbull,783102,2,3
Tulare,8738836,7,18
Tulsa,8437881,9,23
Tunica,2508683,0,4
Turner,1153134,1,6
Tuscaloosa,4265985,0,10
Union,7441756,6,25
Utah,97365,5,0
Uvalde,2310278,22,17
Van Buren,2398608,0,4
Vance,1110773,0,4
Vanderburgh,9237143,2,33
Ventura,1640497,13,7
Vermilion,9655153,2,24
Victoria,2162196,3,1
Virginia Beach,10860787,14,34
Volusia,3511792,0,22
Wagoner,2447217,8,0
Wake,13438748,9,25
Walker,2517797,2,2
Waller,2299176,1,3
Ware,583537,2,2
Warren,4364077,1,16
Washington,10092301,14,32
Washoe,1440879,1,5
Watauga,1989840,5,0
Waukesha,2444683,6,0
Wayne,107963327,73,292
Webster,5824160,4,9
Westchester,7177054,2,17
Whiteside,821640,0,4
Wichita,2092110,0,4
Wilcox,1349256,1,3
Will,13109780,8,29
Williamsburg,1823101,0,8
Williamson,226018,2,3
Wilson,5612158,33,27
Winnebago,22850145,23,55
Winston,2523928,1,5
Woodbury,4029675,1,8
Worcester,2438154,0,6
Worth,163930,0,8
Wright,1924338,1,4
Wyandotte,6969679,14,23
Yakima,5788006,6,17
Yazoo,2731177,4,6
York,7915555,13,16
Yuma,2325328,0,4
