Incident ID,Incident Date,# Injured
1170482,23-07-2018,5
1169103,21-07-2018,5
1153997,01-07-2018,6
1149910,25-06-2018,6
1147720,23-06-2018,4
1146547,21-06-2018,4
1143558,18-06-2018,3
1143524,17-06-2018,4
1137473,10-06-2018,5
1131909,03-06-2018,3
1106451,02-05-2018,4
1031851,21-01-2018,4
1577518,22-12-2019,13
1525476,12-10-2019,0
1511999,24-09-2019,3
1507156,18-09-2019,1
1501350,10-09-2019,4
1495141,02-09-2019,4
1493038,31-08-2019,3
1487573,25-08-2019,3
1475924,11-08-2019,6
1475208,09-08-2019,4
1468190,04-08-2019,7
1468091,04-08-2019,7
1460726,28-07-2019,4
1453327,21-07-2019,4
1452617,20-07-2019,7
1450767,18-07-2019,3
1447456,14-07-2019,4
1446611,13-07-2019,4
1441396,07-07-2019,4
1441296,07-07-2019,4
1439593,05-07-2019,5
1438971,04-07-2019,3
1434931,29-06-2019,5
1427483,21-06-2019,4
1417570,08-06-2019,4
1416374,06-06-2019,3
1411598,01-06-2019,4
1412243,01-06-2019,4
1364540,06-04-2019,6
1359455,31-03-2019,4
1338765,03-03-2019,6
1318391,03-02-2019,5
1305516,19-01-2019,4
1881213,19-12-2020,6
1869748,04-12-2020,4
1858455,22-11-2020,3
1857439,21-11-2020,6
1853615,16-11-2020,4
1854076,16-11-2020,4
1839065,30-10-2020,3
1828080,18-10-2020,4
1820156,10-10-2020,3
1805722,26-09-2020,4
1799748,19-09-2020,4
1799703,19-09-2020,4
1796638,15-09-2020,5
1794086,13-09-2020,3
1792650,12-09-2020,4
1786920,06-09-2020,4
1779718,30-08-2020,4
1773006,23-08-2020,4
1769489,19-08-2020,6
1756248,05-08-2020,4
1752100,01-08-2020,4
1747700,27-07-2020,4
1744332,23-07-2020,4
1741838,21-07-2020,15
1740615,20-07-2020,5
1740013,19-07-2020,3
1738635,18-07-2020,4
1733188,12-07-2020,3
1732229,12-07-2020,4
1727567,06-07-2020,6
1725883,05-07-2020,4
1725145,05-07-2020,5
1725098,04-07-2020,3
1725081,04-07-2020,4
