Incident ID,Incident Date,City,City Or County
2085401,08-08-2021,Chicago,Chicago
2085071,07-08-2021,Chicago,Chicago
2078897,31-07-2021,Chicago,Chicago
2073472,25-07-2021,Chicago,Chicago
2070329,21-07-2021,Chicago,Chicago
2070645,21-07-2021,Chicago,Chicago
2070310,21-07-2021,Chicago,Chicago
2068061,19-07-2021,Chicago,Chicago
2066189,17-07-2021,Chicago,Chicago
2065118,16-07-2021,Chicago,Chicago
2062097,14-07-2021,Chicago,Chicago
2062359,14-07-2021,Chicago,Chicago
2053048,05-07-2021,Chicago,Chicago
2052346,03-07-2021,Chicago,Chicago
2050593,01-07-2021,Chicago,Chicago
2049419,30-06-2021,Chicago,Chicago
2046714,27-06-2021,Chicago,Chicago
2046897,27-06-2021,Chicago,Chicago
2045579,26-06-2021,Chicago,Chicago
2045564,25-06-2021,Chicago,Chicago
2043898,23-06-2021,Chicago,Chicago
2043715,23-06-2021,Chicago,Chicago
2036121,15-06-2021,Chicago,Chicago
2035452,15-06-2021,Chicago,Chicago
2032203,12-06-2021,Chicago,Chicago
2030708,10-06-2021,Chicago,Chicago
2026112,06-06-2021,Chicago,Chicago
2020535,30-05-2021,Chicago,Chicago
2015849,26-05-2021,Chicago,Chicago
2012971,23-05-2021,Chicago,Chicago
2004666,15-05-2021,Chicago,Chicago
1996236,05-05-2021,Chicago,Chicago
1993280,02-05-2021,Chicago,Chicago
1978652,15-04-2021,Chicago,Chicago
1970378,05-04-2021,Chicago,Chicago
1964085,28-03-2021,Chicago,Chicago
1963052,27-03-2021,Chicago,Chicago
1961753,26-03-2021,Chicago,Chicago
1952662,14-03-2021,Chicago,Chicago
1952281,14-03-2021,Chicago,Chicago
2482288,16-12-2022,Chicago,Chicago
2478664,11-12-2022,Chicago,Chicago
2468325,26-11-2022,Chicago,Chicago
2453865,06-11-2022,Chicago,Chicago
2453892,06-11-2022,Chicago,Chicago
2452501,03-11-2022,Chicago,Chicago
2449653,31-10-2022,Chicago,Chicago
2443849,24-10-2022,Chicago,Chicago
2443194,23-10-2022,Chicago,Chicago
2421430,22-09-2022,Chicago,Chicago
2414080,13-09-2022,Chicago,Chicago
2406651,04-09-2022,Chicago,Chicago
2396803,24-08-2022,Chicago,Chicago
2392698,20-08-2022,Chicago,Chicago
2392494,19-08-2022,Chicago,Chicago
2391779,19-08-2022,Chicago,Chicago
2390519,17-08-2022,Chicago,Chicago
2386871,14-08-2022,Chicago,Chicago
2368018,23-07-2022,Chicago,Chicago
2367176,23-07-2022,Chicago,Chicago
2359843,14-07-2022,Chicago,Chicago
2355438,10-07-2022,Chicago,Chicago
2353847,07-07-2022,Chicago,Chicago
2352444,06-07-2022,Chicago,Chicago
2348204,04-07-2022,Chicago,Chicago
2346422,01-07-2022,Chicago,Chicago
2345410,01-07-2022,Chicago,Chicago
2338902,23-06-2022,Chicago,Chicago
2333667,17-06-2022,Chicago,Chicago
2327645,11-06-2022,Chicago,Chicago
2324475,07-06-2022,Chicago,Chicago
2324496,07-06-2022,Chicago,Chicago
2315892,29-05-2022,Chicago,Chicago
2315074,29-05-2022,Chicago,Chicago
2307044,19-05-2022,Chicago,Chicago
2299660,11-05-2022,Chicago,Chicago
2298836,10-05-2022,Chicago,Chicago
2299407,10-05-2022,Chicago,Chicago
2288928,27-04-2022,Chicago,Chicago
2285772,23-04-2022,Chicago,Chicago
